芙蓉公寓 4室2厅 3500元,芙蓉公寓  ,马王堆租房,4室2厅  ,148平米  ,南,随时看房,3500,1,furong
沁园春御院 1室1厅 1600元,沁园春御院  ,河西步步高租房,1室1厅  ,44平米  ,南,随时看房,1600,9,yuelu
绿地中央广场 4室2厅 4500元,绿地中央广场  ,观沙岭租房,4室2厅  ,147平米  ,南,随时看房,4500,1,yuelu
绿地中央广场 1室1厅 1600元,绿地中央广场  ,观沙岭租房,1室1厅  ,34平米  ,南,随时看房,1600,15,yuelu
未来城 1室1厅 1700元,未来城  ,河西人人乐租房,1室1厅  ,45平米  ,南,随时看房,1700,3,yuelu
沁园春 3室2厅 3200元,沁园春  ,银盆岭租房,3室2厅  ,154平米  ,东,随时看房,3200,1,yuelu
达美D6区 1室1厅 1900元,达美D6区  ,汽车西站租房,1室1厅  ,45平米  ,南 北,距离2号线望城坡站571米,1900,13,yuelu
新楚麓山才苑 2室2厅 2800元,新楚麓山才苑  ,溁湾镇租房,2室2厅  ,100平米  ,南,距离2号线溁湾镇站952米,2800,7,yuelu
岳麓区教师村 4室0厅 4200元,岳麓区教师村  ,河西步步高租房,4室0厅  ,90平米  ,南,随时看房,4200,1,yuelu
达美D6区 5室2厅 5800元,达美D6区  ,汽车西站租房,5室2厅  ,177平米  ,南,距离2号线望城坡站571米,5800,1,yuelu
梅溪湖金茂悦 4室2厅 4800元,梅溪湖金茂悦  ,梅溪湖北岸租房,4室2厅  ,135平米  ,南 北,随时看房,4800,3,yuelu
美林银谷国际社区 1室1厅 1800元,美林银谷国际社区  ,河西步步高租房,1室1厅  ,50平米  ,西,随时看房,1800,3,yuelu
万科城市花园 1室0厅 1500元,万科城市花园  ,梅溪湖北岸租房,1室0厅  ,38平米  ,西,随时看房,1500,8,yuelu
宜居莱茵城 3室2厅 2600元,宜居莱茵城  ,河西人人乐租房,3室2厅  ,88平米  ,南,随时看房,2600,0,yuelu
梅溪湖壹号三期 3室2厅 3000元,梅溪湖壹号三期  ,梅溪湖南岸租房,3室2厅  ,100平米  ,南,随时看房,3000,0,yuelu
恒大御景湾 4室2厅 3000元,恒大御景湾  ,滨江新城租房,4室2厅  ,145平米  ,南,随时看房,3000,1,yuelu
长房时代城 3室2厅 2500元,长房时代城  ,河西人人乐租房,3室2厅  ,89平米  ,南,随时看房,2500,1,yuelu
和泓梅溪四季 5室4厅 5000元,和泓梅溪四季  ,梅溪湖北岸租房,5室4厅  ,160平米  ,南 北,随时看房,5000,0,yuelu
永祺西京 3室2厅 3100元,永祺西京  ,河西步步高租房,3室2厅  ,160平米  ,南,随时看房,3100,0,yuelu
新楚麓山才苑 2室2厅 2600元,新楚麓山才苑  ,溁湾镇租房,2室2厅  ,100平米  ,南,距离2号线溁湾镇站864米,2600,16,yuelu
西子一间办公大三房 采光好 格局好,西子一间  ,高桥租房,3室2厅  ,137平米  ,南,距离2号线万家丽广场站1064米,3100,26,yuhua
新城新世界三房自带车位，家具家电齐全,新城新世界三期  ,高桥租房,3室2厅  ,90平米  ,南,距离城际铁路树木岭站站996米,2500,5,yuhua
华盛世纪新城 4室1厅 2900元,华盛世纪新城  ,喜盈门租房,4室1厅  ,139平米  ,南 北,距离城际铁路湘府路站站846米,2900,4,yuhua
莲湖汽车饰品城小区 2室1厅 1600元,莲湖汽车饰品城小区  ,喜盈门租房,2室1厅  ,70平米  ,南 北,距离城际铁路湘府路站站935米,1600,0,yuhua
五矿万境水岸二期 3室2厅 2600元,五矿万境水岸二期  ,喜盈门租房,3室2厅  ,140平米  ,南,距离城际铁路湘府路站站704米,2600,0,yuhua
新城新世界 2室2厅 2400元,新城新世界  ,高桥租房,2室2厅  ,89平米  ,南 北,距离城际铁路树木岭站站1076米,2400,1,yuhua
万博汇名邸一期 2室1厅 2400元,万博汇名邸一期  ,雨花亭租房,2室1厅  ,67平米  ,西,随时看房,2400,3,yuhua
佳天瑞宁花园 1室1厅 1800元,佳天瑞宁花园  ,赤岗冲租房,1室1厅  ,50平米  ,北,随时看房,1800,8,yuhua
高桥 新城新世界两居室 办公居家都可以 看房方便,新城新世界三期  ,高桥租房,2室1厅  ,90平米  ,南,距离城际铁路树木岭站站1000米,2300,17,yuhua
万博汇名邸一期 2室2厅 3600元,万博汇名邸一期  ,雨花亭租房,2室2厅  ,88平米  ,南,随时看房,3600,0,yuhua
精装修一房，采光充足，看房方便,兰亭优壳  ,赤岗冲租房,1室0厅  ,44平米  ,西,随时看房,1600,0,yuhua
锦湘国际星城三期 2室2厅 2600元,锦湘国际星城三期  ,尚东租房,2室2厅  ,95平米  ,南,随时看房,2600,2,yuhua
长房天翼未来城 3室1厅 4000元,长房天翼未来城  ,左家塘租房,3室1厅  ,136平米  ,南,随时看房,4000,2,yuhua
佳天瑞宁花园 1室1厅 2000元,佳天瑞宁花园  ,赤岗冲租房,1室1厅  ,50平米  ,北,随时看房,2000,11,yuhua
金信阳光在线 3室2厅 2100元,金信阳光在线  ,井湾子租房,3室2厅  ,92平米  ,南,随时看房,2100,1,yuhua
莲湖汽车饰品城小区 2室1厅 1500元,莲湖汽车饰品城小区  ,喜盈门租房,2室1厅  ,70平米  ,南,距离城际铁路湘府路站站968米,1500,2,yuhua
华盛世纪新城 4室1厅 2900元,华盛世纪新城  ,喜盈门租房,4室1厅  ,139平米  ,南 北,距离城际铁路湘府路站站846米,2900,5,yuhua
阳光锦城 2室1厅 2400元,阳光锦城  ,雨花亭租房,2室1厅  ,65平米  ,北,随时看房,2400,5,yuhua
融科东南海 3室2厅 3100元,融科东南海  ,树木岭租房,3室2厅  ,99平米  ,南,随时看房,3100,4,yuhua
万科金域华府 3室2厅 2700元,万科金域华府  ,武广新城租房,3室2厅  ,90平米  ,东南,距离城际铁路香樟路站站957米,2700,11,yuhua
万科金域华府 3室2厅 3500元,万科金域华府  ,武广新城租房,3室2厅  ,125平米  ,南 北,距离城际铁路香樟路站站993米,3500,10,yuhua
东方新世界 3室1厅 2900元,东方新世界  ,左家塘租房,3室1厅  ,114平米  ,南,随时看房,2900,8,yuhua
牛婆塘社区 精装两房仅需1200,牛婆塘社区  ,雨花亭租房,2室1厅  ,52平米  ,南,距离1号线黄土岭站776米,1200,19,yuhua
上海城一期通透两房 自住装修 随时看房 拎包入住,上海城  ,韶山南路租房,2室2厅  ,91平米  ,南 北,随时看房,2300,16,yuhua
长重社区 2室1厅 900元,长重社区  ,赤岗冲租房,2室1厅  ,49平米  ,南,距离城际铁路树木岭站站713米,900,1,yuhua
万博汇名邸一期 1室1厅 1800元,万博汇名邸一期  ,雨花亭租房,1室1厅  ,49平米  ,南,随时看房,1800,3,yuhua
万博汇名邸二期 1室1厅 2200元,万博汇名邸二期  ,雨花亭租房,1室1厅  ,49平米  ,南,随时看房,2200,3,yuhua
雨花亭居家一房，中等楼层，家电齐全，小区环境好,万博汇名邸一期  ,雨花亭租房,1室0厅  ,52平米  ,东,随时看房,1800,8,yuhua
天韵家园 2室1厅 1400元,天韵家园  ,左家塘租房,2室1厅  ,88平米  ,南,随时看房,1400,2,yuhua
莲湖建材市场 6室2厅 3000元,莲湖建材市场  ,井湾子租房,6室2厅  ,180平米  ,南,随时看房,3000,0,yuhua
新城新世界二期 2室2厅 2200元,新城新世界二期  ,高桥租房,2室2厅  ,90平米  ,南,距离城际铁路树木岭站站1097米,2200,9,yuhua
东方新世界 2室1厅 2100元,东方新世界  ,左家塘租房,2室1厅  ,64平米  ,南,随时看房,2100,9,yuhua
鑫天御景湾 2室1厅 1700元,鑫天御景湾  ,喜盈门租房,2室1厅  ,51平米  ,南,随时看房,1700,2,yuhua
华菱新城地标 2室2厅 2500元,华菱新城地标  ,武广新租房,2室2厅  ,90平米  ,南,随时看房,2500,2,yuhua
上海城 1室1厅 1400元,上海城  ,韶山南路租房,1室1厅  ,47平米  ,南,随时看房,1400,13,yuhua
上海城 1室1厅 1800元,上海城  ,韶山南路租房,1室1厅  ,53平米  ,南,随时看房,1800,16,yuhua
五矿万境水岸一期 2室2厅 1800元,五矿万境水岸一期  ,喜盈门租房,2室2厅  ,80平米  ,南,距离城际铁路湘府路站站706米,1800,8,yuhua
实惠两房，业主诚心出租，品质小区，交通便捷,佳天瑞宁花园  ,赤岗冲租房,2室1厅  ,85平米  ,南,随时看房,2200,16,yuhua
QQ生活馆 1室0厅 1600元,QQ生活馆  ,左家塘租房,1室0厅  ,54平米  ,南,随时看房,1600,3,yuhua
万博汇名邸一期 1室1厅 1800元,万博汇名邸一期  ,雨花亭租房,1室1厅  ,40平米  ,南,随时看房,1800,4,yuhua
长房天翼未来城 1室0厅 1700元,长房天翼未来城  ,左家塘租房,1室0厅  ,38平米  ,南,随时看房,1700,5,yuhua
上海城南北通透四房，安静舒适，交通方便，拎包入住,上海城  ,韶山南路租房,4室1厅  ,130平米  ,南 北,随时看房,3000,7,yuhua
五矿二期高楼层两房 纯色系装修 户型好 居家必备,五矿万境水岸二期  ,喜盈门租房,2室2厅  ,88平米  ,南,距离城际铁路湘府路站站704米,2200,7,yuhua
东方新世界 2室2厅 2400元,东方新世界  ,左家塘租房,2室2厅  ,88平米  ,南,随时看房,2400,9,yuhua
城市山水豪园精装两房，可拎包入住,城市山水豪园  ,武广新租房,2室2厅  ,86平米  ,东南,随时看房,2400,7,yuhua
万科金域华府 3室2厅 2700元,万科金域华府  ,武广新城租房,3室2厅  ,90平米  ,南,距离城际铁路香樟路站站995米,2700,13,yuhua
雨花亭 韶山中路 云鼎公馆 钥匙在手说走就走,云鼎公馆  ,雨花亭租房,3室1厅  ,94平米  ,南,距离1号线涂家冲站1069米,2800,11,yuhua
佳天瑞宁花园 1室1厅 1900元,佳天瑞宁花园  ,赤岗冲租房,1室1厅  ,52平米  ,北,随时看房,1900,21,yuhua
第六都 4室2厅 8000元,第六都  ,雨花亭租房,4室2厅  ,162平米  ,南 北,距离1号线涂家冲站247米,8000,0,yuhua
融圣国际 1室0厅 1500元,融圣国际  ,桂花村租房,1室0厅  ,40平米  ,南,距离2号线长沙火车站站1047米,1500,3,yuhua
阳光锦城 2室2厅 2500元,阳光锦城  ,雨花亭租房,2室2厅  ,91平米  ,南,随时看房,2500,3,yuhua
曙光大邸 2室2厅 2500元,曙光大邸  ,左家塘租房,2室2厅  ,95平米  ,东南,随时看房,2500,6,yuhua
五矿万境水岸一期 3室2厅 2800元,五矿万境水岸一期  ,喜盈门租房,3室2厅  ,89平米  ,南,距离城际铁路湘府路站站706米,2800,4,yuhua
大三房 屋里空旷 适合办公 随时看房,融科三万英尺  ,雨花亭租房,3室2厅  ,137平米  ,南 北,距离1号线黄土岭站1133米,3500,8,yuhua
精装一房，两卧户型周正，品质小区，适宜居家,佳天瑞宁花园  ,赤岗冲租房,1室1厅  ,50平米  ,南 北,随时看房,1900,5,yuhua
华盛世纪新城 4室1厅 2500元,华盛世纪新城  ,喜盈门租房,4室1厅  ,139平米  ,南,距离城际铁路湘府路站站839米,2500,7,yuhua
凤凰商贸城 2室1厅 2200元,凤凰商贸城  ,左家塘租房,2室1厅  ,99平米  ,南 北,随时看房,2200,0,yuhua
东塘瑞府 1室0厅 2100元,东塘瑞府  ,左家塘租房,1室0厅  ,43平米  ,南,随时看房,2100,1,yuhua
